sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
20001,1.55257361407936,0,0.0337869964980715,0,0.0493966959162331,0,12,1.22107096994924,1.03689679891696,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0848144908999,0.0775951015819948,378.136181691661,1.16573158151611,0.0801893937127235,-37740.1109467749,-35568.880452747,-2171.23049402786
21001,1.57215706896219,0,0.0331810205865601,0,0.0502560683398778,0,12,1.2194044336899,1.0711272405052,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08372610382272,0.0753009634389362,222.17689845711,1.14406909076957,0.0812651301646401,-37666.7284874654,-35516.6568892618,-2150.07159820355
22001,1.53420514176675,0,0.0323666672984258,0,0.0492907424742098,0,12,1.21992440652016,0.832615509992931,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0869329537779,0.0716457898074034,841.772753559053,1.12345440155699,0.0828008411163368,-37688.1701433607,-35527.6250896719,-2160.54505368882
23001,1.50198904478846,0,0.0334029240165464,0,0.0480396148660051,0,12,1.21344227065103,1.03381440805422,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08480321562657,0.0756450931539033,856.855827337131,1.18988662836849,0.0802713094675602,-37740.7637929634,-35549.5200403107,-2191.24375265266
24001,1.50981133425617,0,0.0344716084268824,0,0.0478599336685959,0,12,1.22129701541983,1.11912596334488,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08307006573205,0.0783381195517462,422.754547512159,1.21463873486916,0.0723191108523236,-37683.9415148544,-35496.7556479727,-2187.18586688169
25001,1.51097261484008,0,0.0349365858998107,0,0.0478257150835939,0,12,1.22700738741948,0.816237381065013,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08425029880175,0.0807670353194438,366.409858642146,1.18217394899951,0.0689935076328709,-37770.2087789432,-35551.2373969386,-2218.9713820046
26001,1.51685277514137,0,0.034840089606448,0,0.0478728185163797,0,12,1.20286348057526,1.13885753457104,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0837049959604,0.0824725782195777,905.525882681832,1.1891063668183,0.0642060470930693,-37748.1144807073,-35532.731313551,-2215.38316715633
27001,1.51772562494876,0,0.0344734341053123,0,0.0480767444137807,0,12,1.22585777476521,0.982572221056249,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08494781953579,0.0795369746552054,840.293241944164,1.17844093035946,0.0706525777335559,-37804.6025900246,-35587.8126999946,-2216.78989002997
28001,1.2815897260841,0,0.0246330217103934,0,0.0466776851816093,0,12,1.21058609296707,0.955899980868956,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.06612774359482,0.0815095011859515,678.723927703686,2.04521204079623,0.0537624008044664,-37772.9211793891,-35405.5571763124,-2367.36400307675
29001,1.52748726495354,0,0.0344927611415378,0,0.048502135242585,0,12,1.21529115138672,1.17549989300898,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08475294879194,0.0774615417689553,985.018768627197,1.1787781256937,0.0728475208891737,-37740.8470436555,-35542.1224058001,-2198.72463785535
