sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
2301,2.37444330453873,0,0.0221059603919275,0,0.0705389694310725,0,9,0.91982872155495,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0799425698583947,0,0,0.0652948272018693,0,0,-1990.89505953715,-1375.10906145769,-615.785998079458
2401,2.3681312693283,0,0.0195324679999612,0,0.0718546779593453,0,9,0.941709648352116,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0835696814348922,0,0,0.0652948272018693,0,0,-2053.42158949845,-1388.78633073584,-664.635258762613
2501,2.3055821094662,0,0.0195324679999612,0,0.0726756134303287,0,9,0.941709648352116,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0813645800342785,0,0,0.0652948272018693,0,0,-2028.55828047112,-1366.55967353964,-661.998606931482
2601,2.3055821094662,0,0.0195324679999612,0,0.0726756134303287,0,9,0.941709648352116,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0617859408725054,0,0,0.0326118312845937,0,0,-2049.0888081537,-1381.99206455457,-667.096743599127
2701,2.3055821094662,0,0.0245617910125293,0,0.0726756134303287,0,9,0.941709648352116,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0617859408725054,0,0,0.0303875786322169,0,0,-2008.13013526758,-1364.29512454891,-643.835010718669
2801,2.26573209073395,0,0.0245617910125293,0,0.0726756134303287,0,9,0.901663328288122,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0647100968519227,0,0,0.0242433433490805,0,0,-1988.6147445899,-1357.69355025354,-630.92119433636
2901,2.32518575973809,0,0.0242926460062154,0,0.0726756134303287,0,9,0.901663328288122,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0611668888945134,0,0,0.0396054161782376,0,0,-1989.50422065304,-1346.47439968423,-643.029820968814
3001,2.32518575973809,0,0.0255503841373138,0,0.0726756134303287,0,9,0.901663328288122,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0611668888945134,0,0,0.0376867301831953,0,0,-1970.20273161456,-1338.39647445895,-631.806257155611
3101,2.36691095307469,0,0.0332814498967491,0,0.0726756134303287,0,9,0.856155626708641,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0611668888945134,0,0,0.0313108892948366,0,0,-1952.08866738519,-1332.98547906492,-619.103188320272
3201,2.33857128582895,0,0.0332814498967491,0,0.0726756134303287,0,9,0.856155626708641,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0611668888945134,0,0,0.0281829628231935,0,0,-1962.67620623253,-1331.73909261871,-630.937113613816
