sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
4901,2.74314066789578,0,0.0744925304575366,0,0.0605810072074398,0,9,1.01049465096509,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2080.78536956114,-1409.05692379064,-671.728445770507
5001,2.81358278858512,0,0.0823453033743368,0,0.0614936344139413,0,9,0.995190849789414,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2088.54618743362,-1402.70953032593,-685.83665710769
5101,2.81293552518892,0,0.0597062112214626,0,0.0626932701561281,0,9,0.966176091820425,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2082.97743710395,-1410.19190475863,-672.785532345329
5201,2.82316881410788,0,0.0806214939214553,0,0.0621720458276515,0,9,0.988623986683689,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2091.43156656938,-1402.99151016503,-688.440056404343
5301,2.7269588578558,0,0.0760140027907538,0,0.0613638944902355,0,9,1.01439224568443,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2089.99303854812,-1406.0144118283,-683.978626719823
5401,2.81063416499265,0,0.0669961884169743,0,0.0620247719543326,0,9,0.979055478816256,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2074.52077765639,-1410.51955216416,-664.001225492233
5501,2.84498974736767,0,0.0652882164420135,0,0.0624242862830836,0,9,0.998807769122546,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2076.91427852008,-1413.46269155888,-663.451586961197
5601,2.79823892768206,0,0.0579703984281981,0,0.0631275401053425,0,9,0.983673294423825,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2093.40008278496,-1415.24206622937,-678.158016555588
5701,2.82075416073105,0,0.0679176993593357,0,0.0634692235195067,0,9,0.986014074709954,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2084.06134884658,-1410.75721390293,-673.30413494365
5801,2.84552131171297,0,0.0655980936188583,0,0.0628482088588527,0,9,1.01193907230137,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2080.65080692346,-1406.67012999344,-673.98067693002
5901,2.81626593184023,0,0.0666233421863792,0,0.0622553539169354,0,9,0.982023238055062,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2084.10414404338,-1415.01239169868,-669.091752344705
6001,2.81969662709495,0,0.0721453052200005,0,0.0622675365163184,0,9,1.00855638885938,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2102.0530346852,-1424.94637295281,-677.106661732384
6101,2.72170801958284,0,0.0650340246918526,0,0.0621933748150773,0,9,1.00024478029921,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2090.34513977662,-1416.53608490238,-673.809054874242
6201,2.8959823922208,0,0.0635018513281447,0,0.0656546984146192,0,9,1.02197073818568,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2084.65345833825,-1409.1896098082,-675.463848530047
6301,2.84150506060336,0,0.0609353195000429,0,0.0658530656990227,0,9,1.00233238567119,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2086.37953870965,-1411.36400280227,-675.01553590738
6401,2.86167497435507,0,0.0657514329713889,0,0.0651610676394135,0,9,1.05948219833656,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2082.06466139404,-1415.02889843397,-667.035762960064
6501,2.87391833266432,0,0.0657878961288063,0,0.0653510187730269,0,9,0.961512373445395,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2071.94207675212,-1406.66362711317,-665.278449638953
6601,2.86447701570888,0,0.0682916563062324,0,0.0649781205930906,0,9,0.948053679112651,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2065.01406976877,-1396.3192800052,-668.694789763574
6701,2.94941977124419,0,0.0722095673501967,0,0.0652359048914268,0,9,0.980497209704977,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2066.89707153589,-1401.71584760932,-665.181223926574
6801,2.85670500917786,0,0.0744531270843345,0,0.0631051007040603,0,9,0.956156393726295,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2070.21710877383,-1407.57643942735,-662.640669346485
6901,2.85117501071527,0,0.068602603624876,0,0.06520936751093,0,9,0.961665003764967,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2057.21567724331,-1397.44192610118,-659.773751142135
7001,2.8748790097845,0,0.0698385486376631,0,0.06511252283351,0,9,0.999585696737209,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2057.30877919102,-1398.44747487719,-658.861304313827
