sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
35001,2.46960319467911,0,0.300121040020468,0,0.0363301113849437,0,9,1.469886547912,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.463882065855293,1,0,-2547.93476696496,-1828.8195619099,-719.11520505506
35101,3.89501050805604,0,0.945922660617568,0,0.0163796960433005,0,9,1.84478709463555,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.777204825015069,1,0,-2561.48770291625,-2011.8833853775,-549.604317538749
35201,3.8771086933108,0,0.977205321437288,0,0.0157866077191094,0,9,1.84551212801186,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.511397247120379,1,0,-2623.31463735555,-1988.9280088368,-634.386628518753
35301,2.8072898097456,0,0.306560036763017,0,0.0402662674613832,0,9,1.48415452558331,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.545698195821808,1,0,-2463.53023671896,-1797.94701210795,-665.583224611009
35401,2.83282803240269,0,0.29455904123585,0,0.0405763436661008,0,9,1.48935641827225,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.563742106878188,1,0,-2598.34122941055,-1826.52845424269,-771.812775167861
35501,2.86153371996704,0,0.327844102792079,0,0.0386898169277327,0,9,1.3956072564446,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.551090696402356,1,0,-2565.34586901146,-1843.92490103757,-721.420967973888
35601,3.01278857194126,0,0.327249956514712,0,0.040332534950397,0,9,1.37206020468306,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.492820795063995,1,0,-2430.43904748515,-1781.6399138483,-648.799133636855
35701,2.54365722390706,0,0.259741977449997,0,0.03867147209373,0,9,1.49168449161671,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.60301789415252,1,0,-2521.51161725152,-1811.98105607012,-709.530561181397
35801,2.98517816645429,0,0.323474927950588,0,0.0384806689271576,0,9,1.54799977677687,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.602075934821233,1,0,-2482.8628417209,-1834.76498563452,-648.097856086378
35901,3.0709094256238,0,0.331194435912703,0,0.0392469409768156,0,9,1.45975607111596,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.631859583611341,1,0,-2460.51065910511,-1832.46218122989,-628.04847787522
36001,2.54173662992613,0,0.261239076199103,0,0.0385747691942208,0,9,1.56808220700842,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.707922800126728,1,0,-2447.85601917418,-1848.56293487029,-599.293084303887
36101,2.55400699988484,0,0.251257350879551,0,0.0394363666279717,0,9,1.43364309058281,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.676037472611606,1,0,-2394.20394446078,-1811.71102900834,-582.492915452447
36201,2.57527245132711,0,0.246568591196251,0,0.0415874427143638,0,9,1.51107509940784,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.62619458522741,1,0,-2483.04543999438,-1844.05754042321,-638.987899571171
36301,3.04283585013555,0,0.333130683660947,0,0.0411241236981297,0,9,1.50302683532778,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.512151277219874,1,0,-2596.3502815794,-1830.94186771543,-765.408413863979
36401,3.11948474852169,0,0.325261427515884,0,0.0418112898870814,0,9,1.4673315110139,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.512310896659072,1,0,-2765.48107546263,-1843.49995732321,-921.981118139421
36501,3.1108985793749,0,0.331593905757408,0,0.0395295860659083,0,9,1.42861736253042,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.487317341308371,1,0,-2471.66241041922,-1774.731329773,-696.931080646221
36601,2.91174310504712,0,0.328617592081301,0,0.0389992585868929,0,9,1.41644240022767,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.500941843180364,1,0,-2519.14973580185,-1774.90087207775,-744.248863724102
36701,2.95820903594185,0,0.309341609887423,0,0.0415429492647237,0,9,1.52052099476712,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.466665453154837,1,0,-2621.37077881473,-1808.96776426536,-812.403014549369
36801,2.95888150724129,0,0.32612895715507,0,0.0424278340792552,0,9,1.51926396979473,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.479259305532928,1,0,-2459.96298857318,-1786.25182732099,-673.71116125219
36901,2.6271373004267,0,0.287555589745801,0,0.0393427469079704,0,9,1.59714262674335,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.499064938323252,1,0,-2482.47828677517,-1815.31057979912,-667.167706976041
