sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
2001,2.20358910122501,0,0.00994644953750663,0,0.077228612426457,0,9,1.13027343468083,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0892666826500354,3.36682175691846,0.0500745114837924,0,1.00133951034313,0,0.506042480733054,1,-5468.91753378197,-4679.7166816323,-789.200852149679
2101,2.2288596485506,0,0.0332028652633282,0,0.0739516857698741,0,9,1.10301280515571,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.137615761340636,2.73766769593235,0.0593927939382712,0,1.13782292510424,0,0.612254475597799,1,-5452.98430113367,-4653.64112699,-799.343174143673
2201,2.22033144118744,0,0.0314746459163404,0,0.0737069855396824,0,9,1.08896464419006,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.137735820884057,2.75418312077372,0.0652523607749355,0,1.20677477769907,0,0.694361061507568,1,-5442.00110863678,-4641.86894549374,-800.132163143036
2301,2.21465313247666,0,0.0304134453976349,0,0.072859343387049,0,9,1.10480185567863,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.140354544208451,2.69996261588584,0.0586923293371322,0,1.1896645773944,0,0.60426423485669,1,-5414.50701569738,-4617.07414989606,-797.432865801319
2401,2.22550513014841,0,0.0306298982468164,0,0.0739795876549912,0,9,1.08364185661406,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.138104020337509,2.43819096704971,0.0630804004732463,0,1.16585676967201,0,0.74946576129141,1,-5403.79871440814,-4605.55858059465,-798.240133813491
2501,2.21986828348662,0,0.0294013692484641,0,0.0739300220162184,0,9,1.09386446600032,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.131230996350026,2.69690781659084,0.0664179779968832,0,1.14167046735051,0,0.754503969254208,1,-5398.5910345192,-4607.26417926522,-791.326855253973
2601,2.19800873425693,0,0.0296525077488493,0,0.0731789542359012,0,9,1.08994412625953,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.13148009564326,2.4082407531952,0.0646858432909587,0,1.1249526300808,0,0.708017331601472,1,-5384.68677532213,-4592.40276013968,-792.284015182447
2701,2.19629112128821,0,0.0312833515346908,0,0.0729259476734864,0,9,1.05075248906823,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.138313903473949,2.20587451990917,0.0564342784611384,0,1.13992375374438,0,0.766201950789283,1,-5390.10729149056,-4600.54468013958,-789.562611350983
2801,2.20781569253581,0,0.0318120345391379,0,0.0728551346876077,0,9,1.06560992453099,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.143207806036307,1.97889320660045,0.0596554990465123,0,1.16752168088169,0,0.839834584062632,1,-5380.89470746147,-4587.07465463621,-793.820052825259
2901,2.1626042401596,0,0.0242236240134433,0,0.0734100154666099,0,9,1.10040302383992,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.178848905892286,2.2173957432827,0.0946477654266315,0,1.193868438884,0,0.722128097793701,1,-5400.84828257036,-4602.17853650964,-798.669746060717
3001,2.15802541762523,0,0.0241591295324694,0,0.0731228706682995,0,9,1.05359163225353,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.17867576794222,2.59254032006228,0.10334481786855,0,1.21085993285581,0,0.684219270266157,1,-5392.48335673822,-4595.71146809866,-796.771888639559
3101,2.15246535597801,0,0.0241851110973908,0,0.0729790551190664,0,9,1.09472032669596,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.178536263735653,2.46771212758984,0.101248640543084,0,1.20581052042535,0,0.644209649907513,1,-5372.69062975608,-4581.76673399425,-790.923895761828
3201,2.14932828314772,0,0.0235919537501275,0,0.0729087047827928,0,9,1.09485797376365,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.178208713606765,2.57307665272826,0.0935755265654379,0,1.21593170572136,0,0.629583379730255,1,-5367.52226096684,-4582.17810395925,-785.344157007596
3301,2.14768493733321,0,0.0232242999553542,0,0.0736333869200904,0,9,1.07779174790432,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.178753926735723,2.76465985586591,0.0937345805335101,0,1.16455712331227,0,0.561278447808049,1,-5366.97735109628,-4583.14715495859,-783.830196137681
3401,2.14667478283969,0,0.0233044519131672,0,0.0741024313659426,0,9,1.07345545533819,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.179167452373545,2.45697255462472,0.0951292358987355,0,1.12212317779453,0,0.569017840116207,1,-5367.09917818404,-4584.73135656274,-782.367821621297
3501,2.13905235344302,0,0.024339680214171,0,0.0733626661176953,0,9,1.07172641002268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.180153439260475,2.27731071568422,0.0934158991124857,0,1.07628510764419,0,0.482927342546092,1,-5362.6845855308,-4581.86028826917,-780.824297261623
3601,2.14625373237244,0,0.0238139109710432,0,0.0742990938798576,0,9,1.06741269838735,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.179361150201843,2.03838080696962,0.0975057019716447,0,1.05649045770332,0,0.73100904168444,1,-5353.57967471562,-4571.75509233621,-781.824582379409
3701,2.09800961886093,0,0.0119275473778474,0,0.0721899592145069,0,9,1.04137382267011,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0829365345555173,2.50727700762912,0.0435842118776279,0,1.07421400430271,0,0.6069476214233,1,-5335.53688590446,-4557.36650060024,-778.17038530422
3801,2.09800961886093,0,0.0092102553896124,0,0.07232038813231,0,9,1.0859197962663,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0845290489773637,2.51177052416927,0.0429989042844737,0,1.07859506152057,0,0.606363381083987,1,-5338.26647131683,-4561.04783127561,-777.218640041219
3901,2.08294741107988,0,0.00959797537948049,0,0.0719433474414688,0,9,1.0859197962663,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0845290489773637,2.23538355018467,0.0403598674981034,0,1.06789456659147,0,0.610748479343131,1,-5327.28099664367,-4550.20308318134,-777.077913462327
4001,2.05593621057934,0,0.006420671369021,0,0.0718802844104741,0,9,1.06420122053942,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0795246220672096,2.12957690090647,0.0406002321024734,0,1.06345302581275,0,0.675782311310591,1,-5329.89267100821,-4549.32461118812,-780.568059820084
4101,2.11691838658434,0,0.00858939919285841,0,0.0723600485435183,0,9,1.053053826732,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0814038563246384,2.23406913633211,0.0411413378833894,0,1.08250502490654,0,0.654737986420614,1,-5327.17491493834,-4544.98905999355,-782.185854944794
4201,2.12498368494199,0,0.0137227514851749,0,0.0726526953352813,0,9,1.05445653520396,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0814038563246384,2.48882834369237,0.0426919082426994,0,1.05113138516127,0,0.657955841188264,1,-5326.88222555197,-4542.44820334525,-784.434022206719
4301,2.14156799282233,0,0.0137227514851749,0,0.0726526953352813,0,9,1.0676291440959,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0814038563246384,2.49904820571366,0.0450469803735737,0,1.07060147664343,0,0.682870426945469,1,-5323.37085796478,-4538.28813693378,-785.082721031
4401,2.14568486490162,0,0.0137227514851749,0,0.0726526953352813,0,9,1.08881914151746,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0831934963740979,2.61712989313394,0.0457327712603823,0,1.0781895992777,0,0.578616521151203,1,-5324.10924886684,-4537.91653445583,-786.192714411012
4501,2.14324267891837,0,0.0117812827076433,0,0.072527412296645,0,9,1.08083878820231,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0678465623494818,2.67533610788924,0.0417550759751647,0,1.0422982354529,0,0.548160228017179,1,-5311.97210986583,-4525.01595902294,-786.956150842892
