sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
2701,2.1823099157773,0,0.016852234848775,0,0.0716803442453965,0,9,1.2435292332666,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0755017116200178,0.785435508191585,0.0107839773520828,0,0.260353608035948,0.0820547922723927,3.66236302163452,0.282051085843705,-2120.62907237849,-1472.95904996053,-647.670022417964
2801,1.9675957695581,0,0.0209720764169469,0,0.0777857682202011,0,9,0.908186609973199,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.110174826020375,0.84301188159734,0.0655224408018403,0,0.570286058054771,0.230720414503012,1.41870454978198,0.799273628392258,-2062.79735463293,-1350.63280565746,-712.164548975478
2901,1.9675957695581,0,0.0209720764169469,0,0.0777857682202011,0,9,0.877943904721178,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.114668481075205,0.86916910468135,0.0708186608874239,0,0.531539668610785,0.217225653796922,0.612620132043958,0.137439604965037,-2040.69080271006,-1334.98078806557,-705.710014644483
3001,1.9675957695581,0,0.0210517483903095,0,0.0777857682202011,0,9,0.877943904721178,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.109773205081001,0.832590323337353,0.0641297197057866,0,0.54858682558639,0.168262665581424,0.212210162775591,0.636345886508933,-2063.27698113733,-1352.19121074162,-711.085770395711
3101,1.9675957695581,0,0.0210517483903095,0,0.0777857682202011,0,9,0.877943904721178,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.110132357524708,0.865011055325158,0.0745230233641342,0,0.511559710211586,0.219158716455567,0.460558980004862,0.984669082914478,-2082.82439099195,-1356.32961948393,-726.494771508017
3201,2.28648757776245,0,0.0119949834793806,0,0.0734067702665925,0,9,1.1907309825765,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0817163817584513,0.556971829431131,0.0147651190352626,0,0.364122384532821,0.242784808410797,2.5413603191264,0.963398466235958,-2060.47773613853,-1449.97265752116,-610.505078617371
3301,2.28648757776245,0,0.00239851655438541,0,0.0746207241201773,0,9,1.10748519911431,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0817163817584513,0.536754858819768,0.00909069447265939,0,0.338026368131396,0.235281042449642,3.29641442024149,0.576163305086084,-2085.21448847291,-1445.2231453683,-639.99134310461
3401,2.19461928559467,0,0.00239851655438541,0,0.0727611116366461,0,9,0.954878060962072,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0821962083689867,0.592076494637876,0.0139628887660802,0,0.312723598119337,0.346874337152112,2.41645775455982,2.09368655493017,-2030.27454092319,-1387.07065958995,-643.203881333236
3501,2.19461928559467,0,0.00239851655438541,0,0.0727611116366461,0,9,0.954878060962072,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0730051091639324,0.596349902497604,0.0169733923808672,0,0.25016194640426,0.328573908864055,1.19884914555587,1.54646130267065,-2023.99296984319,-1391.13664520113,-632.856324642056
3601,2.19461928559467,0,0.00192575620952995,0,0.0727611116366461,0,9,0.954878060962072,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0730051091639324,0.567245406634174,0.0225267677493394,0,0.268567370113451,0.327378104554955,1.36466166237369,2.22466312593315,-2029.93197411322,-1376.22259448306,-653.709379630168
