sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
20001,0.473172114963619,0,0.160918332126222,0,0.996497338180252,0,9,3.00047464349874,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2976.7152845455,-2374.99806891744,-601.717215628054
21001,0.302857239762465,0,0.000808537303472079,0,0.012084424841379,0,9,2.43096810545181,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2808.77077046096,-2174.91521138382,-633.855559077139
22001,0.390162303613338,0,0.0246132952242384,0,0.0337870592093519,0,9,2.74329033768802,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2901.99317707404,-2143.22548634728,-758.767690726756
23001,0.313140435187028,0,0.0064668392239231,0,0.0122582269688003,0,9,2.27222760750295,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2711.61163875414,-2093.70559788434,-617.906040869803
24001,0.372275098422799,0,0.023916558263503,0,0.0513219916876799,0,9,2.21868815081393,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3085.05223013538,-2134.4190317692,-950.633198366184
25001,0.263008672452332,0,0.0521423411346498,0,0.00234295285417456,0,9,2.11133448888317,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3066.16287156273,-2194.55210518345,-871.610766379278
26001,0.398317972195821,0,0.0112159207560376,0,0.0320965874370371,0,9,2.35090838936937,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2950.00190952519,-2088.4650866837,-861.536822841482
27001,0.330200302546726,0,0.000712194952829736,0,0.0359480352096633,0,9,1.79904472041684,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2992.3752166466,-2013.51905595555,-978.856160691055
28001,0.305207460802434,0,0.00294311395192242,0,0.0136839370505493,0,9,2.10844470934528,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2881.3841572108,-2103.85402521603,-777.530131994765
29001,0.220238932636183,0,0.00371650742294198,0,0.00680648230123987,0,9,2.31686308139071,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2875.0207307697,-2172.62685399287,-702.393876776835
30001,0.356185883042812,0,0.121734766212549,0,0.0324109364327512,0,9,2.58926173109931,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3023.58171573351,-2267.22266972097,-756.359046012548
31001,0.353095057166435,0,0.0198849108080259,0,0.0935574345213872,0,9,2.54326529433995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3184.40482316562,-2290.90250402345,-893.502319142173
32001,0.2640801378153,0,0.00015803976791736,0,0.0158740279060091,0,9,2.1336505449553,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2990.58025500617,-2246.49873895398,-744.081516052189
33001,0.398945709985439,0,0.165921527838305,0,0.0383092300899865,0,9,2.62094154691407,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3038.77723797132,-2273.9393985259,-764.837839445426
34001,0.277630272896301,0,0.00940538831528137,0,0.025758400847252,0,9,2.39917744835873,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3342.94869081725,-2157.67908197535,-1185.26960884191
35001,0.398247076761825,0,0.0136368020417571,0,0.461198910683161,0,9,2.82554363412163,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2953.2780537585,-2353.00711254514,-600.270941213356
36001,0.304270199925922,0,0.0134413035224013,0,0.0129702656999508,0,9,2.36128576134034,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2943.06645902492,-2099.39222614348,-843.674232881442
37001,0.308805994569796,0,0.0150735595839881,0,0.0400248964900957,0,9,2.3440101186029,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2970.14358240353,-2071.02858410966,-899.11499829387
38001,0.30584136989001,0,0.0259894754268426,0,0.0394807720994347,0,9,2.36118371023186,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3085.99916494831,-2173.0698670613,-912.929297887007
39001,0.308121805761393,0,0.0609896371305964,0,0.00880485243254026,0,9,2.34888599531885,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2834.91652843402,-2237.48084846372,-597.435679970301
40001,0.308739108124893,0,0.000971102970948052,0,0.025651051127742,0,9,2.33451263445178,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2953.98971494052,-2178.30467656891,-775.685038371601
41001,0.361815472065356,0,0.00468177658832936,0,0.0600659539965176,0,9,2.53824937524852,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3065.53884951235,-2167.52527269176,-898.013576820594
42001,0.299665687714051,0,0.00178768104958449,0,0.00940820508964535,0,9,1.75837286944544,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2849.94106723395,-1965.70890068788,-884.232166546075
43001,0.419180033044063,0,0.358679353291424,0,0.0424717178005656,0,9,3.39024908161832,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2919.9073429463,-2367.9391398312,-551.968203115104
44001,0.335994995086253,0,0.00814154552802097,0,0.0187170873031531,0,9,2.13709254307275,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2822.93236341262,-2047.15995862661,-775.77240478601
